IdCliente,Nombre,RFC,FechaNacimiento,email,NumeroContacto,Estado,AlcaldiaMunicipio,FechaRegistro
3,Guadalupe Isabel,MGHE910722J98,02/05/1987,Guadalupe.mendoza@hotmail.com,5523338184,Mexico,Nezahualcoyotl,13/01/2023
4,Alfonso Glanz,GUEK981117EK1,17/05/2019,aglanz0@multiply.com,4852360588,Zavrč,Zavra,02/11/2022
5,Brigitte Vader,GUEK981117EK2,03/04/1981,bvader1@biblegateway.com,5463039404,Villa Concepción del Tío,Villa Concepción del Tío,12/11/2022
6,Pamella Ashworth,GUEK981117EK3,09/02/1983,pashworth2@xrea.com,8581426553,Cakungsari,Cakungsari,23/12/2022
7,Corene Roake,GUEK981117EK4,12/03/2022,croake3@bloglines.com,3101048133,Qiuchuan,Qiuchuan,11/12/2022
8,Valerye Pullman,GUEK981117EK5,28/03/2006,vpullman4@unesco.org,8491512881,Rrasa e Sipërme,Rrasa e Sipërme,25/10/2022
9,Ellen Joseph,GUEK981117EK6,14/02/1987,ejoseph5@dmoz.org,7411942463,Cadiz,Cadiz,08/01/2023
10,Corinne Dear,GUEK981117EK7,07/11/1995,cdear6@barnesandnoble.com,9393689646,Beibao,Beibao,28/12/2022
11,Jacquenetta Molfino,GUEK981117EK8,22/03/1990,jmolfino7@goodreads.com,8093057275,Peroguarda,Peroguarda,12/11/2022
13,Gina Michiel,GUEK981117EK1,28/08/1986,gmichiel9@yolasite.com,8915416479,Novhorod-Sivers’kyy,Novhorod-Sivers’kyy,24/11/2022
16,Abbe MacAne,GUEK981117EK4,23/06/1987,amacanec@deviantart.com,1281230926,Guankou,Guankou,28/12/2022
17,Dierdre Hadeke,GUEK981117EK5,08/11/1989,dhadeked@unc.edu,4615903101,Charlottenberg,Charlottenberg,01/12/2022
19,Kalinda Brandino,GUEK981117EK7,17/11/2001,kbrandinof@unesco.org,6438548344,Beicheng,Beicheng,25/11/2022
20,Torr Waitland,GUEK981117EK8,02/05/1984,twaitlandg@digg.com,7659560054,Indianapolis,Indianapolis,27/10/2022
21,Hollis Praton,GUEK981117EK9,19/10/1989,hpratonh@mail.ru,2886010909,Yambrasbamba,Yambrasbamba,26/10/2022
22,Anett Kehir,GUEK981117EK1,17/09/2005,akehiri@discuz.net,7817834575,Guicheng,Guicheng,24/10/2022
24,Thor Haking,GUEK981117EK1,26/09/1982,thakingk@yelp.com,5036927352,Ḩabīl ar Raydah,Ḩabīl ar Raydah,21/11/2022
26,Delilah Greenan,GUEK981117EK3,22/04/2002,dgreenanm@washington.edu,8585920204,Jajarkrajan,Jajarkrajan,02/12/2022
27,Kiri Cellier,GUEK981117EK4,06/10/1981,kcelliern@smugmug.com,2385508499,Igede-Ekiti,Igede-Ekiti,04/01/2023
28,Alejandrina Bradlaugh,GUEK981117EK5,16/03/2008,abradlaugho@google.co.uk,1801539504,Leiwang,Leiwang,06/11/2022
29,Colman Ciraldo,GUEK981117EK6,17/07/2013,cciraldop@europa.eu,7498410124,Augsburg,Augsburg,12/11/2022
30,Nat Vian,GUEK981117EK7,26/03/1986,nvianq@bluehost.com,9311751610,Malita,Malita,27/12/2022
31,Barty Boscott,GUEK981117EK8,26/01/1990,bboscottr@miibeian.gov.cn,4751688841,Skärhamn,Skärhamn,07/11/2022
32,Shir Doree,GUEK981117EK9,27/08/1980,sdorees@multiply.com,3157159581,Salamanca,Salamanca,06/11/2022
36,Ferris Wrathmall,GUEK981117EK4,11/06/2014,fwrathmallw@whitehouse.gov,1442961176,Sanxi,Sanxi,07/11/2022
