IdCliente,Nombre,RFC,FechaNacimiento,email,NumeroContacto,Estado,AlcaldiaMunicipio,FechaRegistro,Desc_error
1,Fausto Enrique,MEBF910716j93,22/07/1991,fausto.mendoza@ids.com.mx,5523338184,Mexico,Nezahualcoyotl,13/01/2023,RFC con formato incorrecto
2,Julio Jesus,MJBJ981007j98,31/07/1998,julio.mendoza@gmail.com,5585595167,Mexico,Nezahualcoyotl,13/01/2023,RFC con formato incorrecto
12,Roderich Tortoishell,GUEK981117EK9,07/08/2006,rtortoishell8comsenz.com,1836065595,Podkumskiy,Podkumskiy,15/11/2022,email con formato incorrecto
14,Curry Catcheside,GUEK981117EK2,11/04/1985,ccatchesidea@domainmarket.com,3803149428,Ueda,Ueda,02/02/2023,"Fecha invalida, no puede ser mayor a hoy"
15,Standford Nussen,GUEK981117EK3,19/06/2004,snussenb@fastcompany.com,3809509893,Tucheng,Tucheng,27/02/2023,"Fecha invalida, no puede ser mayor a hoy"
18,Barnabas Barkus,GUEK981117EK6,27/12/1998,bbarkuse@washingtonpost.com,50198965,Lishu,Lishu,13/12/2022,Numero telefonico incorrecto
23,Tamara Bogey,323583573-3,09/02/1996,tbogeyj@sciencedaily.com,3671105224,Chavárion,Chavárion,11/01/2023,RFC con formato incorrecto
25,Burg Lascelles,GUEK981117EK2,16/02/1994,blascellesl@@pcworld.com,3093808015,Colonias Unidas,Colonias Unidas,17/12/2022,email con formato incorrecto
33,Kaitlynn Wessell,GUEK981117EK1,27/02/2023,kwessellt@narod.ru,3442664692,Hongdu,Hongdu,20/12/2022,"Fecha invalida, no puede ser mayor a hoy"
34,Selina Gisby,GUEK981117EK2,22/09/1982,sgisbyu@lulu.com,68775997,Belomorsk,Belomorsk,28/10/2022,Numero telefonico incorrecto
35,Erny Kurth,GUEK981117EK3,02/05/2017,ekurthv@,2084416906,Boise,Boise,19/12/2022,email con formato incorrecto
37,Steven Cozz2,GUEK981117EK5,28/02/2023,scozzix@elpais.com,4483252237,Segong,Segong,21/12/2022,Nombre con formato incorrecto
37,Steven Cozz2,GUEK981117EK5,28/02/2023,scozzix@elpais.com,4483252237,Segong,Segong,21/12/2022,"Fecha invalida, no puede ser mayor a hoy"
38,Garwin Hentzeler,647063488-5,29/12/2009,ghentzelery@tiny.cc,5125894663,Penedo,Penedo,01/12/2022,RFC con formato incorrecto
39,Caresse Leggin,150257914-6,15/09/2015,clegginz@answers.com,9762285315,Lagunas,Lagunas,14/12/2022,RFC con formato incorrecto
40,Hunt Lister,179468818-8,02/11/1994,hlister10@ebay.com,4259579147,Shamva,Shamva,22/11/2022,RFC con formato incorrecto
41,Krystalle Hek,253432678-3,08/07/1984,khek11@dailymail.co.uk,3949497211,Mardzad,Mardzad,29/11/2022,RFC con formato incorrecto
42,Boone McEwen,505006812-6,12/08/2001,bmcewen12@foxnews.com,3001430102,Kavalerovo,Kavalerovo,01/12/2022,RFC con formato incorrecto
43,Hamid Berth,643253175-6,08/03/2018,hberth13@icio.us,5943015276,Targuist,Targuist,29/12/2022,RFC con formato incorrecto
44,Krisha Kempson,407661405-4,09/09/2016,kkempson14@nationalgeographic.com,6662172688,Jatiprahu,Jatiprahu,03/01/2023,RFC con formato incorrecto
45,Dyann Yearby,814694297-0,20/02/1990,dyearby15@boston.com,6117917769,Galatás,Galatás,03/12/2022,RFC con formato incorrecto
46,Jesse Di Pietro,421591400-0,14/03/2005,jdi16@hubpages.com,5969968793,Beisijiazi,Beisijiazi,28/12/2022,RFC con formato incorrecto
47,Percy Marwood,526702674-3,29/07/1997,pmarwood17@fotki.com,8367669884,Cran-Gevrier,Cran-Gevrier,24/11/2022,RFC con formato incorrecto
48,Vincenz Ghelerdini,557609003-9,18/02/1983,vghelerdini18@kickstarter.com,3246474327,Bahāwalnagar,Bahāwalnagar,10/01/2023,RFC con formato incorrecto
49,Tommie Camble,982165232-8,09/08/2018,tcamble19@zdnet.com,4808994945,Siikainen,Siikainen,08/01/2023,RFC con formato incorrecto
50,Gerhardine Gladdis,540703636-3,21/09/1990,ggladdis1a@trellian.com,3036803304,Turkestan,Turkestan,14/12/2022,RFC con formato incorrecto
51,Betteann Sherburn,152421848-0,29/03/1984,bsherburn1b@miitbeian.gov.cn,9893348349,Kalebun,Kalebun,08/11/2022,RFC con formato incorrecto
52,Rafaello Sturdey,574492328-4,21/09/2022,rsturdey1c@google.fr,4739737550,Leuwipicung,Leuwipicung,21/12/2022,RFC con formato incorrecto
53,Gwenore Gjerde,157954207-7,28/02/2023,ggjerde1d@ehow.com,5682657328,Huaitu,Huaitu,22/12/2022,RFC con formato incorrecto
53,Gwenore Gjerde,157954207-7,28/02/2023,ggjerde1d@ehow.com,5682657328,Huaitu,Huaitu,22/12/2022,"Fecha invalida, no puede ser mayor a hoy"
54,Karlyn Thompsett,905343226-4,28/02/1995,kthompsett1e@ow.ly,7217583132,Brasília,Brasília,25/11/2022,RFC con formato incorrecto
55,Steven Boscher,870887272-4,07/07/2021,sboscher1f@joomla.org,1262520698,Yiqi,Yiqi,17/12/2022,RFC con formato incorrecto
56,Yul By,941329369-4,21/11/2012,yby1g@youtube.com,5008213822,Staryy Krym,Staryy Krym,29/10/2022,RFC con formato incorrecto
57,Ulysses Zoellner,609369842-4,03/08/2017,uzoellner1h@loc.gov,4391172509,Lamas,Lamas,10/11/2022,RFC con formato incorrecto
58,Jonathon Suddock,058252918-2,29/09/2001,jsuddock1i@phoca.cz,8774533378,Barreiros,Barreiros,24/11/2022,RFC con formato incorrecto
59,Lotty Brugemann,847410377-0,26/07/1985,lbrugemann1j@tumblr.com,9549466010,Áno Kómi,Áno Kómi,10/01/2023,RFC con formato incorrecto
60,Mick Rusbridge,852793566-X,17/05/1983,mrusbridge1k@microsoft.com,4747382714,Osieck,Osieck,04/12/2022,RFC con formato incorrecto
61,Donnajean Filimore,538333027-5,26/01/1999,dfilimore1l@friendfeed.com,9241399496,Nariño,Nariño,11/11/2022,RFC con formato incorrecto
62,Horst Hare,915407015-5,31/03/1988,hhare1m@arstechnica.com,4163565487,Chivilcoy,Chivilcoy,25/12/2022,RFC con formato incorrecto
63,Ash Sheers,539204001-2,04/06/2020,asheers1n@ft.com,7845491360,Cikou,Cikou,28/02/2023,RFC con formato incorrecto
